country,depression_mean,depression_relative,age_mean,age_relative
AE,0.4304029304029303,0.00423728813559322,0.21903520208604957,0.00423728813559322
AL,0.3392857142857143,0.001303780964797914,0.09745762711864406,0.001303780964797914
AO,0.28174603174603174,0.000651890482398957,0.24576271186440676,0.000651890482398957
AR,0.39814814814814814,0.001955671447196871,0.12994350282485875,0.001955671447196871
AT,0.48730158730158724,0.003259452411994785,0.13389830508474576,0.003259452411994785
AU,0.3883179170948955,0.04530638852672751,0.29252530179246433,0.04530638852672751
AZ,0.626984126984127,0.0003259452411994785,0.15254237288135594,0.0003259452411994785
BA,0.6111111111111112,0.0003259452411994785,0.4915254237288136,0.0003259452411994785
BB,0.8015873015873016,0.0003259452411994785,0.3559322033898305,0.0003259452411994785
BD,0.873015873015873,0.0003259452411994785,0.0847457627118644,0.0003259452411994785
BE,0.49206349206349204,0.0022816166883963492,0.35108958837772397,0.0022816166883963492
BG,0.37301587301587297,0.0029335071707953064,0.16195856873822978,0.0029335071707953064
BN,0.49349206349206354,0.016297262059973925,0.1077966101694915,0.016297262059973925
BR,0.4951409135082606,0.015971316818774447,0.12556208924247667,0.015971316818774447
BS,0.1865079365079365,0.000651890482398957,0.025423728813559324,0.000651890482398957
BW,0.47619047619047616,0.0003259452411994785,0.4915254237288136,0.0003259452411994785
BZ,0.17857142857142855,0.000651890482398957,0.288135593220339,0.000651890482398957
CA,0.4071428571428572,0.06844850065189048,0.23825665859564155,0.06844850065189048
CH,0.29682539682539677,0.003259452411994785,0.26440677966101694,0.003259452411994785
CL,0.43452380952380953,0.001303780964797914,0.211864406779661,0.001303780964797914
CN,0.5753968253968254,0.000651890482398957,0.05932203389830508,0.000651890482398957
CO,0.2486772486772487,0.0009778357235984355,0.20903954802259886,0.0009778357235984355
CR,0.6137566137566137,0.0009778357235984355,0.04519774011299435,0.0009778357235984355
CZ,0.4559082892416225,0.0029335071707953064,0.1374764595103578,0.0029335071707953064
DE,0.419293539011849,0.023142112125162973,0.1706851277154453,0.023142112125162973
DK,0.17195767195767198,0.003911342894393742,0.3107344632768362,0.003911342894393742
DO,0.6798941798941799,0.0009778357235984355,0.15819209039548024,0.0009778357235984355
DZ,0.5198412698412698,0.000651890482398957,0.06779661016949153,0.000651890482398957
EC,0.5031746031746032,0.0016297262059973925,0.08474576271186442,0.0016297262059973925
EE,0.35317460317460314,0.000651890482398957,0.2288135593220339,0.000651890482398957
EG,0.48500881834215154,0.011734028683181226,0.13653483992467044,0.011734028683181226
ES,0.33002645502645506,0.003911342894393742,0.1850282485875706,0.003911342894393742
ET,0.6666666666666666,0.0003259452411994785,0.06779661016949153,0.0003259452411994785
FI,0.3793650793650794,0.0048891786179921775,0.20564971751412428,0.0048891786179921775
FR,0.42467804731955683,0.01727509778357236,0.16821234409977617,0.01727509778357236
GB,0.40241874527588806,0.06844850065189048,0.27288135593220314,0.06844850065189048
GE,0.5476190476190477,0.000651890482398957,0.05084745762711865,0.000651890482398957
GG,0.5793650793650794,0.0003259452411994785,0.06779661016949153,0.0003259452411994785
GH,0.47619047619047616,0.0003259452411994785,0.05084745762711865,0.0003259452411994785
GR,0.31261022927689597,0.005867014341590613,0.2806026365348399,0.005867014341590613
GT,0.5793650793650794,0.0003259452411994785,0.4067796610169492,0.0003259452411994785
GY,0.15873015873015872,0.0003259452411994785,0.0847457627118644,0.0003259452411994785
HK,0.3660130718954248,0.005541069100391135,0.14057826520438682,0.005541069100391135
HN,0.06349206349206349,0.0003259452411994785,0.288135593220339,0.0003259452411994785
HR,0.3180708180708181,0.00423728813559322,0.2046936114732725,0.00423728813559322
HU,0.4098124098124098,0.003585397653194263,0.2218798151001541,0.003585397653194263
ID,0.44494949494949515,0.07170795306388526,0.10570107858243444,0.07170795306388526
IE,0.45165945165945165,0.007170795306388526,0.25346687211093993,0.007170795306388526
IL,0.4666666666666666,0.0016297262059973925,0.2779661016949152,0.0016297262059973925
IN,0.42786596119929465,0.05867014341590613,0.16327683615819197,0.05867014341590613
IR,0.373015873015873,0.0009778357235984355,0.3163841807909605,0.0009778357235984355
IS,0.26785714285714285,0.002607561929595828,0.2457627118644068,0.002607561929595828
IT,0.48333333333333334,0.009778357235984355,0.16610169491525423,0.009778357235984355
JM,0.4193121693121693,0.005867014341590613,0.13559322033898305,0.005867014341590613
JO,0.32407407407407407,0.001955671447196871,0.18644067796610167,0.001955671447196871
JP,0.3314093314093316,0.01075619295958279,0.11607601438109912,0.01075619295958279
KH,0.47619047619047616,0.0003259452411994785,0.11864406779661017,0.0003259452411994785
KR,0.3924162257495591,0.0029335071707953064,0.1487758945386064,0.0029335071707953064
KW,0.6455026455026455,0.0009778357235984355,0.17514124293785308,0.0009778357235984355
LB,0.45714285714285713,0.0016297262059973925,0.18305084745762712,0.0016297262059973925
LK,0.5918367346938777,0.0022816166883963492,0.22276029055690075,0.0022816166883963492
LT,0.27976190476190477,0.001303780964797914,0.08898305084745764,0.001303780964797914
LV,0.2242063492063492,0.001303780964797914,0.211864406779661,0.001303780964797914
MA,0.6133786848072562,0.0022816166883963492,0.08958837772397096,0.0022816166883963492
MD,0.3253968253968254,0.0003259452411994785,0.23728813559322035,0.0003259452411994785
MK,0.6488095238095238,0.001303780964797914,0.046610169491525424,0.001303780964797914
MO,0.49206349206349204,0.0003259452411994785,0.0,0.0003259452411994785
MU,0.5476190476190477,0.0003259452411994785,0.11864406779661017,0.0003259452411994785
MV,0.41269841269841273,0.0009778357235984355,0.0903954802259887,0.0009778357235984355
MX,0.3886408730158729,0.010430247718383311,0.12182203389830507,0.010430247718383311
MY,0.43331397599690263,0.05345501955671447,0.11254650682100029,0.05345501955671447
MZ,0.2222222222222222,0.0003259452411994785,0.23728813559322035,0.0003259452411994785
NG,0.11607142857142855,0.002607561929595828,0.2860169491525424,0.002607561929595828
NL,0.37962962962962954,0.007822685788787484,0.18432203389830507,0.007822685788787484
NO,0.37301587301587297,0.003585397653194263,0.13405238828967642,0.003585397653194263
NP,0.3353174603174603,0.001303780964797914,0.1864406779661017,0.001303780964797914
NZ,0.38569059464581834,0.021838331160365057,0.1892233746521629,0.021838331160365057
OM,0.4021164021164021,0.0009778357235984355,0.4180790960451977,0.0009778357235984355
PA,0.5158730158730159,0.0003259452411994785,0.2542372881355932,0.0003259452411994785
PE,0.3505291005291005,0.001955671447196871,0.10451977401129943,0.001955671447196871
PH,0.4974457215836528,0.056714471968709254,0.11143580751996873,0.056714471968709254
PK,0.48040674603174605,0.010430247718383311,0.15677966101694912,0.010430247718383311
PL,0.45608465608465615,0.009778357235984355,0.19039548022598868,0.009778357235984355
PR,0.21957671957671956,0.0009778357235984355,0.3220338983050847,0.0009778357235984355
PS,0.40079365079365076,0.000651890482398957,0.09322033898305085,0.000651890482398957
PT,0.43716931216931215,0.003911342894393742,0.13559322033898305,0.003911342894393742
PY,0.05555555555555555,0.0003259452411994785,0.2542372881355932,0.0003259452411994785
QA,0.5396825396825398,0.000651890482398957,0.15254237288135594,0.000651890482398957
RO,0.38205467372134033,0.011734028683181226,0.20386064030131823,0.011734028683181226
RS,0.348639455782313,0.0045632333767926985,0.20217917675544797,0.0045632333767926985
RU,0.4221466364323507,0.006844850065189048,0.096045197740113,0.006844850065189048
SA,0.41388888888888886,0.00651890482398957,0.17542372881355933,0.00651890482398957
SD,0.3253968253968254,0.0003259452411994785,0.11864406779661017,0.0003259452411994785
SE,0.4149659863945578,0.0045632333767926985,0.3559322033898305,0.0045632333767926985
SG,0.3960573476702509,0.020208604954367666,0.19382176052487704,0.020208604954367666
SI,0.4027777777777778,0.001303780964797914,0.1483050847457627,0.001303780964797914
SK,0.5090702947845805,0.0022816166883963492,0.08958837772397095,0.0022816166883963492
SV,0.5079365079365079,0.000651890482398957,0.0423728813559322,0.000651890482398957
SY,0.23015873015873015,0.0003259452411994785,0.23728813559322035,0.0003259452411994785
TH,0.49801587301587297,0.005215123859191656,0.17690677966101695,0.005215123859191656
TR,0.44190476190476197,0.008148631029986962,0.12610169491525422,0.008148631029986962
TT,0.5793650793650793,0.0009778357235984355,0.10169491525423728,0.0009778357235984355
TW,0.44761904761904764,0.0016297262059973925,0.25084745762711863,0.0016297262059973925
TZ,0.3333333333333333,0.0003259452411994785,0.11864406779661017,0.0003259452411994785
UA,0.414021164021164,0.001955671447196871,0.12429378531073447,0.001955671447196871
US,0.41133049425732365,0.20045632333767927,0.2440126774149097,0.20045632333767927
UY,0.30158730158730157,0.0003259452411994785,0.06779661016949153,0.0003259452411994785
VE,0.5105820105820106,0.0009778357235984355,0.10734463276836159,0.0009778357235984355
