group,variable,value,pval
addiction,addiction,1.0,1.0
addiction,adhd,0.778,0.9142
addiction,alcoholism,0.8396,0.918
addiction,anger,-0.2592,0.0272
addiction,anxiety,-0.0922,0.0195
addiction,bipolar,0.3262,0.1202
addiction,bpd,-0.7764,0.0003
addiction,depression,-0.4875,0.0137
addiction,dpdr,-0.0477,0.0615
addiction,drug_addiction,0.7059,0.5384
addiction,eating_disorder,-0.0597,0.9387
addiction,ocd,-0.456,0.0693
addiction,panic,0.0901,0.7745
addiction,psychosis,-0.3664,0.5258
addiction,ptsd,-0.2691,0.0035
addiction,schizophrenia,-0.5354,0.187
addiction,suicidality,-0.3171,0.0643
adhd,addiction,0.778,0.9142
adhd,adhd,1.0,1.0
adhd,alcoholism,0.619,0.9852
adhd,anger,-0.4237,0.0422
adhd,anxiety,-0.2261,0.0468
adhd,bipolar,0.5419,0.2025
adhd,bpd,-0.6852,0.0009
adhd,depression,-0.8056,0.0257
adhd,dpdr,0.0996,0.0872
adhd,drug_addiction,0.8548,0.5036
adhd,eating_disorder,-0.1951,0.9892
adhd,ocd,-0.1425,0.1156
adhd,panic,0.1067,0.8667
adhd,psychosis,-0.0951,0.6127
adhd,ptsd,-0.1339,0.0103
adhd,schizophrenia,-0.2273,0.2285
adhd,suicidality,-0.6899,0.082
alcoholism,addiction,0.8396,0.918
alcoholism,adhd,0.619,0.9852
alcoholism,alcoholism,1.0,1.0
alcoholism,anger,-0.1295,0.0879
alcoholism,anxiety,-0.3906,0.1487
alcoholism,bipolar,0.1296,0.3612
alcoholism,bpd,-0.62,0.0078
alcoholism,depression,-0.4336,0.0726
alcoholism,dpdr,-0.2207,0.1495
alcoholism,drug_addiction,0.6661,0.5584
alcoholism,eating_disorder,-0.1873,0.9775
alcoholism,ocd,-0.6183,0.2287
alcoholism,panic,0.028,0.9079
alcoholism,psychosis,-0.4535,0.691
alcoholism,ptsd,-0.1396,0.0532
alcoholism,schizophrenia,-0.3158,0.2969
alcoholism,suicidality,-0.1888,0.1208
anger,addiction,-0.2592,0.0272
anger,adhd,-0.4237,0.0422
anger,alcoholism,-0.1295,0.0879
anger,anger,1.0,1.0
anger,anxiety,0.2788,0.4124
anger,bipolar,-0.8261,0.1635
anger,bpd,0.5427,0.3755
anger,depression,0.2201,0.928
anger,dpdr,-0.1729,0.7909
anger,drug_addiction,-0.5686,0.0221
anger,eating_disorder,-0.0108,0.0657
anger,ocd,-0.3209,0.3682
anger,panic,-0.1491,0.0587
anger,psychosis,0.2377,0.1305
anger,ptsd,0.7835,0.8599
anger,schizophrenia,-0.4006,0.6
anger,suicidality,0.1721,0.8776
anxiety,addiction,-0.0922,0.0195
anxiety,adhd,-0.2261,0.0468
anxiety,alcoholism,-0.3906,0.1487
anxiety,anger,0.2788,0.4124
anxiety,anxiety,1.0,1.0
anxiety,bipolar,-0.1649,0.2612
anxiety,bpd,0.2491,0.016
anxiety,depression,0.2596,0.3773
anxiety,dpdr,0.3139,0.6529
anxiety,drug_addiction,-0.3738,0.0273
anxiety,eating_disorder,0.1129,0.1017
anxiety,ocd,0.2832,0.8044
anxiety,panic,0.0373,0.0761
anxiety,psychosis,-0.1729,0.2305
anxiety,ptsd,0.2537,0.2696
anxiety,schizophrenia,-0.5011,0.9781
anxiety,suicidality,0.0522,0.4429
bipolar,addiction,0.3262,0.1202
bipolar,adhd,0.5419,0.2025
bipolar,alcoholism,0.1296,0.3612
bipolar,anger,-0.8261,0.1635
bipolar,anxiety,-0.1649,0.2612
bipolar,bipolar,1.0,1.0
bipolar,bpd,-0.3623,0.0023
bipolar,depression,-0.4052,0.1137
bipolar,dpdr,0.3972,0.3096
bipolar,drug_addiction,0.5802,0.0908
bipolar,eating_disorder,-0.0491,0.2931
bipolar,ocd,0.2982,0.5353
bipolar,panic,-0.033,0.2898
bipolar,psychosis,-0.2341,0.5893
bipolar,ptsd,-0.5168,0.0415
