group,variable,value,pval
addiction,addiction,1.0,1.0
addiction,adhd,0.932,0.5218
addiction,alcoholism,0.9333,0.4258
addiction,anger,0.8551,0.5735
addiction,anxiety,0.9017,0.6239
addiction,bipolar,0.9116,0.6573
addiction,bpd,0.8881,0.641
addiction,depression,0.9033,0.7394
addiction,dpdr,0.7968,0.0215
addiction,drug_addiction,0.9331,0.9597
addiction,eating_disorder,0.8987,0.9252
addiction,ocd,0.8982,0.8283
addiction,panic,0.6227,0.0
addiction,psychosis,0.6559,0.0
addiction,ptsd,0.9147,0.4171
addiction,schizophrenia,0.8067,0.0783
addiction,suicidality,0.8479,0.288
adhd,addiction,0.932,0.5218
adhd,adhd,1.0,1.0
adhd,alcoholism,0.9012,0.1541
adhd,anger,0.8835,0.2324
adhd,anxiety,0.9358,0.8458
adhd,bipolar,0.9544,0.8435
adhd,bpd,0.9284,0.8632
adhd,depression,0.9174,0.7749
adhd,dpdr,0.8202,0.0042
adhd,drug_addiction,0.9561,0.4848
adhd,eating_disorder,0.9131,0.461
adhd,ocd,0.9359,0.6657
adhd,panic,0.6175,0.0
adhd,psychosis,0.7052,0.0
adhd,ptsd,0.9481,0.8785
adhd,schizophrenia,0.868,0.0185
adhd,suicidality,0.8494,0.1001
alcoholism,addiction,0.9333,0.4258
alcoholism,adhd,0.9012,0.1541
alcoholism,alcoholism,1.0,1.0
alcoholism,anger,0.8264,0.8162
alcoholism,anxiety,0.866,0.1835
alcoholism,bipolar,0.8795,0.2179
alcoholism,bpd,0.8518,0.2107
alcoholism,depression,0.8638,0.2729
alcoholism,dpdr,0.7456,0.1182
alcoholism,drug_addiction,0.9071,0.4497
alcoholism,eating_disorder,0.8687,0.4791
alcoholism,ocd,0.8569,0.3081
alcoholism,panic,0.613,0.0
alcoholism,psychosis,0.6375,0.0
alcoholism,ptsd,0.8867,0.1065
alcoholism,schizophrenia,0.7793,0.3213
alcoholism,suicidality,0.822,0.7484
anger,addiction,0.8551,0.5735
anger,adhd,0.8835,0.2324
anger,alcoholism,0.8264,0.8162
anger,anger,1.0,1.0
anger,anxiety,0.8926,0.2788
anger,bipolar,0.8784,0.3171
anger,bpd,0.912,0.3073
anger,depression,0.9141,0.3831
anger,dpdr,0.7583,0.0759
anger,drug_addiction,0.8399,0.6034
anger,eating_disorder,0.8688,0.6363
anger,ocd,0.8785,0.4332
anger,panic,0.5759,0.0
anger,psychosis,0.6818,0.0
anger,ptsd,0.9266,0.1683
anger,schizophrenia,0.8016,0.2244
anger,suicidality,0.8801,0.5913
anxiety,addiction,0.9017,0.6239
anxiety,adhd,0.9358,0.8458
anxiety,alcoholism,0.866,0.1835
anxiety,anger,0.8926,0.2788
anxiety,anxiety,1.0,1.0
anxiety,bipolar,0.9309,0.9868
anxiety,bpd,0.9288,0.9924
anxiety,depression,0.9297,0.9064
anxiety,dpdr,0.8345,0.0041
anxiety,drug_addiction,0.8942,0.5817
anxiety,eating_disorder,0.9059,0.5531
anxiety,ocd,0.9326,0.7906
anxiety,panic,0.6916,0.0
anxiety,psychosis,0.6815,0.0
anxiety,ptsd,0.9398,0.7147
anxiety,schizophrenia,0.8279,0.02
anxiety,suicidality,0.8696,0.1177
bipolar,addiction,0.9116,0.6573
bipolar,adhd,0.9544,0.8435
bipolar,alcoholism,0.8795,0.2179
bipolar,anger,0.8784,0.3171
bipolar,anxiety,0.9309,0.9868
bipolar,bipolar,1.0,1.0
bipolar,bpd,0.9328,0.9805
bipolar,depression,0.9209,0.9238
bipolar,dpdr,0.8226,0.0071
bipolar,drug_addiction,0.927,0.6175
bipolar,eating_disorder,0.9046,0.5896
bipolar,ocd,0.9283,0.8162
bipolar,panic,0.6115,0.0
bipolar,psychosis,0.685,0.0
bipolar,ptsd,0.9383,0.7218
bipolar,schizophrenia,0.8679,0.0297
bipolar,suicidality,0.8605,0.1426
bpd,addiction,0.8881,0.641
bpd,adhd,0.9284,0.8632
bpd,alcoholism,0.8518,0.2107
bpd,anger,0.912,0.3073
bpd,anxiety,0.9288,0.9924
bpd,bipolar,0.9328,0.9805
bpd,bpd,1.0,1.0
bpd,depression,0.9514,0.9054
bpd,dpdr,0.838,0.0068
bpd,drug_addiction,0.8864,0.6016
bpd,eating_disorder,0.9248,0.5742
bpd,ocd,0.929,0.7978
bpd,panic,0.5989,0.0
bpd,psychosis,0.7023,0.0
bpd,ptsd,0.9555,0.7418
bpd,schizophrenia,0.849,0.0286
bpd,suicidality,0.8909,0.1379
depression,addiction,0.9033,0.7394
depression,adhd,0.9174,0.7749
depression,alcoholism,0.8638,0.2729
depression,anger,0.9141,0.3831
depression,anxiety,0.9297,0.9064
depression,bipolar,0.9209,0.9238
depression,bpd,0.9514,0.9054
depression,depression,1.0,1.0
depression,dpdr,0.8029,0.0116
depression,drug_addiction,0.8774,0.7002
depression,eating_disorder,0.9058,0.6711
depression,ocd,0.9092,0.8986
depression,panic,0.5962,0.0
depression,psychosis,0.67,0.0
depression,ptsd,0.9449,0.6595
depression,schizophrenia,0.8238,0.0441
depression,suicidality,0.9669,0.1818
dpdr,addiction,0.7968,0.0215
dpdr,adhd,0.8202,0.0042
dpdr,alcoholism,0.7456,0.1182
dpdr,anger,0.7583,0.0759
dpdr,anxiety,0.8345,0.0041
dpdr,bipolar,0.8226,0.0071
dpdr,bpd,0.838,0.0068
dpdr,depression,0.8029,0.0116
dpdr,dpdr,1.0,1.0
dpdr,drug_addiction,0.7803,0.0226
dpdr,eating_disorder,0.8319,0.026
dpdr,ocd,0.8495,0.0118
dpdr,panic,0.6068,0.0001
dpdr,psychosis,0.5718,0.0037
dpdr,ptsd,0.8314,0.0021
dpdr,schizophrenia,0.7226,0.5528
dpdr,suicidality,0.7097,0.2466
drug_addiction,addiction,0.9331,0.9597
drug_addiction,adhd,0.9561,0.4848
drug_addiction,alcoholism,0.9071,0.4497
drug_addiction,anger,0.8399,0.6034
drug_addiction,anxiety,0.8942,0.5817
drug_addiction,bipolar,0.927,0.6175
drug_addiction,bpd,0.8864,0.6016
drug_addiction,depression,0.8774,0.7002
drug_addiction,dpdr,0.7803,0.0226
drug_addiction,drug_addiction,1.0,1.0
drug_addiction,eating_disorder,0.8904,0.9648
drug_addiction,ocd,0.8921,0.7867
drug_addiction,panic,0.6157,0.0
drug_addiction,psychosis,0.6845,0.0
drug_addiction,ptsd,0.9091,0.3823
drug_addiction,schizophrenia,0.8562,0.083
drug_addiction,suicidality,0.8216,0.3043
eating_disorder,addiction,0.8987,0.9252
eating_disorder,adhd,0.9131,0.461
eating_disorder,alcoholism,0.8687,0.4791
eating_disorder,anger,0.8688,0.6363
eating_disorder,anxiety,0.9059,0.5531
eating_disorder,bipolar,0.9046,0.5896
eating_disorder,bpd,0.9248,0.5742
eating_disorder,depression,0.9058,0.6711
eating_disorder,dpdr,0.8319,0.026
eating_disorder,drug_addiction,0.8904,0.9648
eating_disorder,eating_disorder,1.0,1.0
eating_disorder,ocd,0.9051,0.7544
eating_disorder,panic,0.6109,0.0
eating_disorder,psychosis,0.6556,0.0
eating_disorder,ptsd,0.924,0.3618
eating_disorder,schizophrenia,0.8011,0.0927
eating_disorder,suicidality,0.8368,0.3264
ocd,addiction,0.8982,0.8283
ocd,adhd,0.9359,0.6657
ocd,alcoholism,0.8569,0.3081
ocd,anger,0.8785,0.4332
ocd,anxiety,0.9326,0.7906
ocd,bipolar,0.9283,0.8162
ocd,bpd,0.929,0.7978
ocd,depression,0.9092,0.8986
ocd,dpdr,0.8495,0.0118
ocd,drug_addiction,0.8921,0.7867
ocd,eating_disorder,0.9051,0.7544
ocd,ocd,1.0,1.0
ocd,panic,0.613,0.0
ocd,psychosis,0.6814,0.0
ocd,ptsd,0.9372,0.5486
ocd,schizophrenia,0.8314,0.0473
ocd,suicidality,0.8445,0.2038
panic,addiction,0.6227,0.0
panic,adhd,0.6175,0.0
panic,alcoholism,0.613,0.0
panic,anger,0.5759,0.0
panic,anxiety,0.6916,0.0
panic,bipolar,0.6115,0.0
panic,bpd,0.5989,0.0
panic,depression,0.5962,0.0
panic,dpdr,0.6068,0.0001
panic,drug_addiction,0.6157,0.0
panic,eating_disorder,0.6109,0.0
panic,ocd,0.613,0.0
panic,panic,1.0,1.0
panic,psychosis,0.4841,0.1348
panic,ptsd,0.6409,0.0
panic,schizophrenia,0.5337,0.0
panic,suicidality,0.555,0.0
psychosis,addiction,0.6559,0.0
psychosis,adhd,0.7052,0.0
psychosis,alcoholism,0.6375,0.0
psychosis,anger,0.6818,0.0
psychosis,anxiety,0.6815,0.0
psychosis,bipolar,0.685,0.0
psychosis,bpd,0.7023,0.0
psychosis,depression,0.67,0.0
psychosis,dpdr,0.5718,0.0037
psychosis,drug_addiction,0.6845,0.0
psychosis,eating_disorder,0.6556,0.0
psychosis,ocd,0.6814,0.0
psychosis,panic,0.4841,0.1348
psychosis,psychosis,1.0,1.0
psychosis,ptsd,0.7235,0.0
psychosis,schizophrenia,0.6749,0.0008
psychosis,suicidality,0.6217,0.0003
ptsd,addiction,0.9147,0.4171
ptsd,adhd,0.9481,0.8785
ptsd,alcoholism,0.8867,0.1065
ptsd,anger,0.9266,0.1683
ptsd,anxiety,0.9398,0.7147
ptsd,bipolar,0.9383,0.7218
ptsd,bpd,0.9555,0.7418
ptsd,depression,0.9449,0.6595
ptsd,dpdr,0.8314,0.0021
ptsd,drug_addiction,0.9091,0.3823
ptsd,eating_disorder,0.924,0.3618
ptsd,ocd,0.9372,0.5486
ptsd,panic,0.6409,0.0
ptsd,psychosis,0.7235,0.0
ptsd,ptsd,1.0,1.0
ptsd,schizophrenia,0.8421,0.0105
ptsd,suicidality,0.887,0.0685
schizophrenia,addiction,0.8067,0.0783
schizophrenia,adhd,0.868,0.0185
schizophrenia,alcoholism,0.7793,0.3213
schizophrenia,anger,0.8016,0.2244
schizophrenia,anxiety,0.8279,0.02
schizophrenia,bipolar,0.8679,0.0297
schizophrenia,bpd,0.849,0.0286
schizophrenia,depression,0.8238,0.0441
schizophrenia,dpdr,0.7226,0.5528
schizophrenia,drug_addiction,0.8562,0.083
schizophrenia,eating_disorder,0.8011,0.0927
schizophrenia,ocd,0.8314,0.0473
schizophrenia,panic,0.5337,0.0
schizophrenia,psychosis,0.6749,0.0008
schizophrenia,ptsd,0.8421,0.0105
schizophrenia,schizophrenia,1.0,1.0
schizophrenia,suicidality,0.7775,0.5397
suicidality,addiction,0.8479,0.288
suicidality,adhd,0.8494,0.1001
suicidality,alcoholism,0.822,0.7484
suicidality,anger,0.8801,0.5913
suicidality,anxiety,0.8696,0.1177
suicidality,bipolar,0.8605,0.1426
suicidality,bpd,0.8909,0.1379
suicidality,depression,0.9669,0.1818
suicidality,dpdr,0.7097,0.2466
suicidality,drug_addiction,0.8216,0.3043
suicidality,eating_disorder,0.8368,0.3264
suicidality,ocd,0.8445,0.2038
suicidality,panic,0.555,0.0
suicidality,psychosis,0.6217,0.0003
suicidality,ptsd,0.887,0.0685
suicidality,schizophrenia,0.7775,0.5397
suicidality,suicidality,1.0,1.0
