country,group,subgroup,age,score,count
AE,education,graduate degree,36.5,73.5,4.0
AE,education,high school,17.75,70.5,4.0
AE,education,university,29.5,28.167,6.0
AR,education,high school,18.0,59.0,2.0
AR,education,less than high school,17.0,14.0,1.0
AR,education,university,30.429,50.571,7.0
AU,education,graduate degree,39.093,43.535,43.0
AU,education,high school,21.435,58.826,23.0
AU,education,less than high school,16.5,51.5,2.0
AU,education,university,34.61,47.481,77.0
BN,education,graduate degree,28.333,33.5,6.0
BN,education,high school,19.889,63.889,18.0
BN,education,less than high school,16.0,93.5,2.0
BN,education,university,24.423,72.423,26.0
BR,education,graduate degree,29.333,55.667,12.0
BR,education,high school,19.409,58.182,22.0
BR,education,university,26.966,61.31,29.0
CA,education,graduate degree,35.217,42.565,46.0
CA,education,high school,21.377,56.557,61.0
CA,education,less than high school,27.0,57.667,3.0
CA,education,university,32.344,51.576,125.0
CZ,education,graduate degree,24.5,83.5,2.0
CZ,education,high school,22.167,53.167,6.0
CZ,education,university,34.667,48.667,3.0
DE,education,graduate degree,33.812,36.5,16.0
DE,education,high school,21.314,60.714,35.0
DE,education,less than high school,16.5,90.5,2.0
DE,education,university,28.394,49.212,33.0
DK,education,graduate degree,38.0,18.167,6.0
DK,education,high school,21.0,44.5,2.0
DK,education,university,36.333,22.333,3.0
EG,education,graduate degree,37.0,52.0,4.0
EG,education,high school,20.75,51.25,8.0
EG,education,university,23.364,65.091,22.0
ES,education,graduate degree,36.333,30.0,3.0
ES,education,high school,17.667,84.0,3.0
ES,education,university,24.111,35.0,9.0
FI,education,graduate degree,33.0,36.2,5.0
FI,education,high school,21.0,44.0,1.0
FI,education,university,26.273,51.636,11.0
FR,education,graduate degree,33.867,47.867,15.0
FR,education,high school,19.176,69.235,17.0
FR,education,university,25.935,56.581,31.0
GB,education,graduate degree,36.857,48.889,63.0
GB,education,high school,19.553,61.974,38.0
GB,education,less than high school,17.5,30.5,2.0
GB,education,university,32.44,51.107,150.0
GR,education,graduate degree,39.0,48.333,3.0
GR,education,high school,19.75,59.75,4.0
GR,education,university,33.0,37.0,15.0
HK,education,graduate degree,29.5,76.0,2.0
HK,education,high school,23.0,45.556,9.0
HK,education,university,24.429,57.714,7.0
HR,education,graduate degree,33.2,19.0,5.0
HR,education,high school,22.6,75.2,5.0
HR,education,university,33.2,43.0,5.0
ID,education,graduate degree,25.276,54.828,29.0
ID,education,high school,19.6,58.047,85.0
ID,education,less than high school,16.5,46.0,4.0
ID,education,university,24.012,55.523,86.0
IE,education,graduate degree,40.625,41.125,8.0
IE,education,high school,24.0,71.6,5.0
IE,education,university,27.5,57.083,12.0
IN,education,graduate degree,28.363,55.235,102.0
IN,education,high school,20.5,51.917,24.0
IN,education,less than high school,17.5,90.5,2.0
IN,education,university,25.143,53.75,56.0
IT,education,graduate degree,31.75,44.25,8.0
IT,education,high school,25.333,63.8,15.0
IT,education,less than high school,17.5,61.5,2.0
IT,education,university,25.182,61.636,11.0
JP,education,graduate degree,25.429,38.714,7.0
JP,education,high school,20.941,40.059,17.0
JP,education,university,23.909,49.0,11.0
MX,education,graduate degree,27.0,45.0,4.0
MX,education,high school,19.636,40.727,11.0
MX,education,less than high school,19.0,80.0,1.0
MX,education,university,24.6,57.8,20.0
MY,education,graduate degree,27.25,54.5,48.0
MY,education,high school,20.033,52.471,121.0
MY,education,less than high school,16.75,55.0,4.0
MY,education,university,23.29,58.571,231.0
NL,education,graduate degree,34.444,49.778,9.0
NL,education,high school,18.667,75.667,6.0
NL,education,university,28.0,35.077,13.0
NZ,education,graduate degree,37.636,33.591,22.0
NZ,education,high school,18.765,58.0,17.0
NZ,education,less than high school,16.0,56.0,2.0
NZ,education,university,26.0,53.25,32.0
PH,education,graduate degree,26.0,46.75,4.0
PH,education,high school,19.875,68.25,8.0
PH,education,less than high school,16.0,51.5,2.0
PH,education,university,23.143,70.429,14.0
PK,education,graduate degree,28.455,66.364,11.0
PK,education,high school,19.625,54.25,8.0
PK,education,university,27.923,61.692,13.0
PL,education,graduate degree,34.25,56.0,8.0
PL,education,high school,22.8,62.2,20.0
PL,education,less than high school,18.0,76.5,2.0
PL,education,university,31.0,53.231,13.0
PT,education,graduate degree,28.0,43.5,2.0
PT,education,high school,21.25,61.625,8.0
PT,education,university,38.667,39.333,6.0
RO,education,graduate degree,35.444,43.556,9.0
RO,education,high school,22.545,44.545,11.0
RO,education,university,28.222,53.556,18.0
RS,education,graduate degree,43.0,30.0,3.0
RS,education,high school,23.25,37.25,8.0
RS,education,university,29.143,49.429,7.0
RU,education,graduate degree,26.5,25.0,2.0
RU,education,high school,19.417,53.25,12.0
RU,education,university,24.625,55.875,8.0
SA,education,graduate degree,29.111,43.222,9.0
SA,education,high school,18.5,80.667,6.0
SA,education,university,28.714,48.429,7.0
SE,education,graduate degree,54.667,50.0,3.0
SE,education,high school,19.5,68.5,2.0
SE,education,less than high school,16.0,77.0,1.0
SE,education,university,37.077,53.692,13.0
SG,education,graduate degree,32.4,42.467,15.0
SG,education,high school,21.588,65.706,17.0
SG,education,less than high school,25.0,81.0,2.0
SG,education,university,27.829,43.171,35.0
TR,education,graduate degree,40.0,71.5,4.0
TR,education,high school,19.875,56.25,8.0
TR,education,less than high school,17.0,47.0,2.0
TR,education,university,22.636,53.727,11.0
US,education,graduate degree,40.147,42.595,346.0
US,education,high school,22.742,57.846,565.0
US,education,less than high school,21.262,59.5,42.0
US,education,university,32.292,49.894,790.0
ZA,education,graduate degree,42.75,65.0,4.0
ZA,education,high school,19.4,62.8,5.0
ZA,education,university,27.357,59.214,14.0
AE,race,arab,23.333,48.0,3.0
AE,race,asian,28.0,57.889,9.0
AE,race,white,36.0,40.0,2.0
AR,race,other,25.0,45.6,5.0
AR,race,white,28.2,51.6,5.0
AU,race,arab,26.0,56.5,2.0
AU,race,asian,26.964,52.857,28.0
AU,race,black,43.0,64.0,1.0
AU,race,indigenous australian,45.0,44.0,1.0
AU,race,other,30.75,31.875,16.0
AU,race,white,35.928,49.206,97.0
BN,race,asian,22.909,67.659,44.0
BN,race,other,23.375,55.5,8.0
BR,race,asian,17.0,63.0,1.0
BR,race,black,21.5,44.5,2.0
BR,race,other,26.333,55.467,15.0
BR,race,white,24.578,60.933,45.0
CA,race,arab,24.333,81.0,3.0
CA,race,asian,23.24,49.18,50.0
CA,race,black,26.25,80.75,4.0
CA,race,native american,36.375,49.625,8.0
CA,race,other,27.158,54.263,19.0
CA,race,white,32.457,50.166,151.0
CZ,race,white,26.0,57.455,11.0
DE,race,arab,19.5,76.0,2.0
DE,race,asian,25.167,62.833,18.0
DE,race,other,23.167,50.5,6.0
DE,race,white,27.1,48.8,60.0
DK,race,asian,19.0,48.0,1.0
DK,race,black,21.0,56.0,1.0
DK,race,other,21.0,33.0,1.0
DK,race,white,39.75,16.0,8.0
EG,race,arab,25.5,69.214,14.0
EG,race,asian,22.562,52.625,16.0
EG,race,other,27.5,59.75,4.0
ES,race,asian,23.25,42.0,4.0
ES,race,other,20.0,9.0,1.0
ES,race,white,26.6,48.0,10.0
FI,race,arab,24.0,23.0,1.0
FI,race,other,40.0,44.0,1.0
FI,race,white,27.4,48.4,15.0
FR,race,arab,24.0,64.333,3.0
FR,race,asian,25.0,104.0,1.0
FR,race,black,21.667,61.0,3.0
FR,race,other,23.75,66.375,8.0
FR,race,white,26.792,54.958,48.0
GB,race,arab,34.0,29.6,5.0
GB,race,asian,24.048,58.81,42.0
GB,race,black,31.0,29.0,2.0
GB,race,other,28.692,47.769,13.0
GB,race,white,33.251,51.649,191.0
GR,race,asian,23.0,23.0,1.0
GR,race,white,31.81,43.619,21.0
HK,race,asian,23.706,49.941,17.0
HK,race,white,34.0,117.0,1.0
HR,race,white,29.667,45.733,15.0
ID,race,arab,22.0,75.0,1.0
ID,race,asian,22.111,55.931,189.0
ID,race,indigenous australian,23.0,29.0,1.0
ID,race,native american,22.0,45.0,1.0
ID,race,other,24.0,58.182,11.0
ID,race,white,20.0,123.0,1.0
IE,race,asian,23.0,46.5,2.0
IE,race,white,31.696,55.609,23.0
IN,race,arab,20.0,76.0,1.0
IN,race,asian,26.837,54.601,153.0
IN,race,black,21.0,50.0,1.0
IN,race,native american,23.0,4.0,1.0
IN,race,other,23.63,55.37,27.0
IN,race,white,20.0,92.0,1.0
IT,race,asian,28.0,15.0,2.0
IT,race,other,19.0,63.5,2.0
IT,race,white,26.625,61.094,32.0
JP,race,asian,22.531,44.719,32.0
JP,race,other,25.333,20.0,3.0
MX,race,other,22.704,57.148,27.0
MX,race,white,24.667,35.667,9.0
MY,race,arab,17.0,44.0,1.0
MY,race,asian,22.682,57.207,358.0
MY,race,black,23.0,99.0,1.0
MY,race,other,23.159,47.545,44.0
NL,race,asian,23.0,91.0,1.0
NL,race,black,33.667,18.333,3.0
NL,race,indigenous australian,19.0,72.0,1.0
NL,race,other,27.0,50.0,1.0
NL,race,white,28.0,49.545,22.0
NZ,race,asian,22.791,54.791,43.0
NZ,race,other,27.125,50.375,8.0
NZ,race,white,37.0,35.545,22.0
PH,race,asian,22.107,65.071,28.0
PK,race,asian,26.172,59.034,29.0
PK,race,other,24.667,84.667,3.0
PL,race,asian,25.0,5.0,1.0
PL,race,white,27.238,60.286,42.0
PT,race,other,16.0,81.0,1.0
PT,race,white,29.467,49.0,15.0
RO,race,asian,31.0,53.0,1.0
RO,race,other,21.0,44.5,2.0
RO,race,white,28.629,48.686,35.0
RS,race,white,28.833,40.778,18.0
RU,race,asian,21.222,59.222,9.0
RU,race,other,20.0,47.0,2.0
RU,race,white,22.909,46.273,11.0
SA,race,arab,27.333,48.6,15.0
SA,race,asian,24.0,54.6,5.0
SA,race,black,22.0,103.0,1.0
SA,race,white,22.0,107.0,1.0
SE,race,asian,16.0,77.0,1.0
SE,race,other,30.0,32.0,1.0
SE,race,white,38.529,56.059,17.0
SG,race,asian,27.0,49.966,59.0
SG,race,other,25.625,46.875,8.0
SG,race,white,39.5,52.0,2.0
TR,race,asian,21.571,63.286,7.0
TR,race,other,23.5,46.0,2.0
TR,race,white,25.25,55.375,16.0
US,race,arab,24.455,40.636,11.0
US,race,asian,24.141,51.745,184.0
US,race,black,27.568,49.148,88.0
US,race,indigenous australian,44.0,57.0,1.0
US,race,native american,29.8,68.05,20.0
US,race,other,26.133,53.596,188.0
US,race,white,32.337,50.799,1251.0
ZA,race,asian,20.0,88.0,1.0
ZA,race,black,25.6,39.4,5.0
ZA,race,other,24.667,71.0,3.0
ZA,race,white,30.643,64.643,14.0
AE,gender,female,28.143,53.214,14.0
AR,gender,female,28.857,52.429,7.0
AR,gender,male,23.5,29.5,2.0
AR,gender,other,17.0,60.0,1.0
AU,gender,female,32.133,50.867,98.0
AU,gender,male,36.66,42.532,47.0
BN,gender,female,22.977,68.727,44.0
BN,gender,male,23.0,49.625,8.0
BR,gender,female,27.28,63.48,25.0
BR,gender,male,23.132,56.289,38.0
CA,gender,female,28.737,53.737,156.0
CA,gender,male,32.68,44.427,75.0
CA,gender,other,28.5,78.25,4.0
CZ,gender,female,23.333,58.167,6.0
CZ,gender,male,29.2,56.6,5.0
DE,gender,female,26.128,55.553,47.0
DE,gender,male,27.114,46.8,35.0
DE,gender,other,20.0,66.25,4.0
DK,gender,female,31.667,28.167,6.0
DK,gender,male,37.8,19.2,5.0
EG,gender,female,22.923,67.192,26.0
EG,gender,male,29.0,37.875,8.0
ES,gender,female,24.5,37.333,12.0
ES,gender,male,28.333,69.667,3.0
FI,gender,female,27.308,44.462,13.0
FI,gender,male,30.0,53.75,4.0
FR,gender,female,24.424,65.515,33.0
FR,gender,male,28.321,47.75,28.0
FR,gender,other,19.5,75.0,2.0
GB,gender,female,31.66,51.617,188.0
GB,gender,male,31.557,51.557,61.0
GB,gender,other,22.25,78.25,4.0
GR,gender,female,31.545,47.455,11.0
GR,gender,male,32.7,35.1,10.0
GR,gender,other,17.0,66.0,1.0
HK,gender,female,23.167,42.167,12.0
HK,gender,male,26.5,76.667,6.0
HR,gender,female,29.273,43.091,11.0
HR,gender,male,30.75,53.0,4.0
ID,gender,female,21.931,58.844,173.0
ID,gender,male,23.867,40.2,30.0
ID,gender,other,20.0,97.0,1.0
IE,gender,female,29.214,52.214,14.0
IE,gender,male,33.273,58.273,11.0
IN,gender,female,24.981,59.808,104.0
