country,group,subgroup,age,score,count,id
United Arab Emirates,education,graduate degree,36.5,73.5,4.0,784
United Arab Emirates,education,high school,17.75,70.5,4.0,784
United Arab Emirates,education,university,29.5,28.166999999999998,6.0,784
Argentina,education,high school,18.0,59.0,2.0,32
Argentina,education,less than high school,17.0,14.0,1.0,32
Argentina,education,university,30.429000000000002,50.571000000000005,7.0,32
Australia,education,graduate degree,39.093,43.535,43.0,36
Australia,education,high school,21.435,58.826,23.0,36
Australia,education,less than high school,16.5,51.5,2.0,36
Australia,education,university,34.61,47.481,77.0,36
Brunei Darussalam,education,graduate degree,28.333000000000002,33.5,6.0,96
Brunei Darussalam,education,high school,19.889,63.888999999999996,18.0,96
Brunei Darussalam,education,less than high school,16.0,93.5,2.0,96
Brunei Darussalam,education,university,24.423000000000002,72.423,26.0,96
Brazil,education,graduate degree,29.333000000000002,55.667,12.0,76
Brazil,education,high school,19.409000000000002,58.181999999999995,22.0,76
Brazil,education,university,26.965999999999998,61.31,29.0,76
Canada,education,graduate degree,35.217,42.565,46.0,124
Canada,education,high school,21.377,56.556999999999995,61.0,124
Canada,education,less than high school,27.0,57.667,3.0,124
Canada,education,university,32.344,51.576,125.0,124
Czech Republic,education,graduate degree,24.5,83.5,2.0,203
Czech Republic,education,high school,22.166999999999998,53.167,6.0,203
Czech Republic,education,university,34.667,48.667,3.0,203
Germany,education,graduate degree,33.812,36.5,16.0,276
Germany,education,high school,21.314,60.714,35.0,276
Germany,education,less than high school,16.5,90.5,2.0,276
Germany,education,university,28.394000000000002,49.211999999999996,33.0,276
Denmark,education,graduate degree,38.0,18.167,6.0,208
Denmark,education,high school,21.0,44.5,2.0,208
Denmark,education,university,36.333,22.333000000000002,3.0,208
Egypt,education,graduate degree,37.0,52.0,4.0,818
Egypt,education,high school,20.75,51.25,8.0,818
Egypt,education,university,23.364,65.09100000000001,22.0,818
Spain,education,graduate degree,36.333,30.0,3.0,724
Spain,education,high school,17.667,84.0,3.0,724
Spain,education,university,24.111,35.0,9.0,724
Finland,education,graduate degree,33.0,36.2,5.0,246
Finland,education,high school,21.0,44.0,1.0,246
Finland,education,university,26.273000000000003,51.636,11.0,246
France,education,graduate degree,33.867,47.867,15.0,250
France,education,high school,19.176,69.235,17.0,250
France,education,university,25.935,56.581,31.0,250
