country,group,subgroup,age,score,count
AE,education,graduate degree,36.8,75.4,5.0
AE,education,high school,17.75,70.5,4.0
AE,education,university,29.5,28.167,6.0
AL,education,graduate degree,25.0,66.0,1.0
AL,education,high school,19.0,62.0,1.0
AL,education,university,25.333,57.667,9.0
AO,education,graduate degree,30.5,35.5,2.0
AR,education,high school,21.4,55.4,5.0
AR,education,less than high school,17.0,14.0,1.0
AR,education,university,30.429,50.571,7.0
AT,education,graduate degree,24.0,33.0,1.0
AT,education,high school,19.2,69.0,5.0
AT,education,university,26.0,62.667,6.0
AU,education,graduate degree,38.826,44.0,46.0
AU,education,high school,21.24,56.96,25.0
AU,education,less than high school,16.5,51.5,2.0
AU,education,university,34.966,45.775,89.0
AZ,education,less than high school,16.0,102.0,1.0
AZ,education,university,25.0,79.0,1.0
BA,education,high school,21.333,48.333,3.0
BA,education,university,34.0,48.0,2.0
BB,education,graduate degree,37.0,101.0,1.0
BD,education,high school,21.0,110.0,1.0
BE,education,graduate degree,34.5,34.0,2.0
BE,education,high school,19.667,42.0,3.0
BE,education,university,39.333,57.0,6.0
BG,education,graduate degree,32.667,42.333,3.0
BG,education,high school,21.0,64.0,3.0
BG,education,university,23.5,40.75,4.0
BN,education,graduate degree,28.333,33.5,6.0
BN,education,high school,19.889,63.889,18.0
BN,education,less than high school,16.0,93.5,2.0
BN,education,university,24.448,67.586,29.0
BO,education,high school,19.0,33.0,1.0
BR,education,graduate degree,29.333,53.733,15.0
BR,education,high school,19.458,59.458,24.0
BR,education,university,26.406,60.812,32.0
BS,education,high school,17.5,23.5,2.0
BS,education,university,39.0,64.0,1.0
BW,education,graduate degree,45.0,60.0,1.0
BZ,education,graduate degree,43.0,1.0,1.0
BZ,education,high school,23.0,44.0,1.0
CA,education,graduate degree,34.25,42.981,52.0
CA,education,high school,21.75,59.319,72.0
CA,education,less than high school,27.0,57.667,3.0
CA,education,university,32.351,51.515,134.0
CH,education,graduate degree,31.857,42.286,7.0
CH,education,high school,23.25,48.0,4.0
CH,education,university,25.833,34.5,6.0
CL,education,graduate degree,36.0,47.0,1.0
CL,education,high school,20.5,63.5,2.0
CL,education,university,30.5,46.75,4.0
CN,education,high school,19.5,72.5,2.0
CO,education,graduate degree,45.0,11.0,1.0
CO,education,high school,20.0,41.5,2.0
CO,education,university,24.0,51.0,1.0
CR,education,high school,19.0,91.0,1.0
CR,education,less than high school,16.0,83.0,1.0
CR,education,university,22.0,62.5,2.0
CZ,education,graduate degree,24.5,83.5,2.0
CZ,education,high school,22.571,58.429,7.0
CZ,education,university,34.667,48.667,3.0
DE,education,graduate degree,33.294,37.824,17.0
DE,education,high school,21.263,58.763,38.0
DE,education,less than high school,16.5,90.5,2.0
DE,education,university,28.27,49.541,37.0
DK,education,graduate degree,38.0,18.167,6.0
DK,education,high school,21.0,44.5,2.0
DK,education,university,36.0,32.0,4.0
DO,education,high school,26.0,94.0,1.0
DO,education,university,25.5,62.0,4.0
DZ,education,high school,19.0,71.0,1.0
DZ,education,university,21.0,60.0,1.0
EC,education,high school,20.333,60.333,3.0
EC,education,university,22.0,68.0,2.0
EE,education,graduate degree,31.0,45.0,1.0
EE,education,university,28.0,44.0,1.0
EG,education,graduate degree,37.2,52.4,5.0
EG,education,high school,20.75,51.25,8.0
EG,education,university,23.348,65.957,23.0
ES,education,graduate degree,30.333,41.333,6.0
ES,education,high school,17.667,84.0,3.0
ES,education,university,26.0,39.75,12.0
ET,education,graduate degree,26.5,46.0,2.0
ET,education,university,20.0,84.0,1.0
FI,education,graduate degree,33.0,36.2,5.0
FI,education,high school,22.0,45.0,2.0
FI,education,university,26.273,51.636,11.0
FR,education,graduate degree,34.294,46.647,17.0
FR,education,high school,20.474,64.158,19.0
FR,education,university,25.921,54.421,38.0
GB,education,graduate degree,37.116,48.522,69.0
GB,education,high school,21.4,62.089,45.0
GB,education,less than high school,17.333,24.333,3.0
GB,education,university,32.111,51.148,162.0
GE,education,high school,19.0,69.0,2.0
GE,education,university,19.0,28.0,1.0
GG,education,university,20.0,73.0,1.0
GH,education,university,19.0,60.0,1.0
GR,education,graduate degree,39.0,48.333,3.0
GR,education,high school,19.75,59.75,4.0
GR,education,university,32.353,38.176,17.0
GT,education,graduate degree,40.0,73.0,1.0
GT,education,university,27.0,39.5,2.0
GU,education,university,46.0,34.0,1.0
HK,education,graduate degree,29.5,76.0,2.0
HK,education,high school,23.0,45.556,9.0
HK,education,university,24.429,57.714,7.0
HN,education,university,33.0,8.0,1.0
HR,education,graduate degree,33.2,19.0,5.0
HR,education,high school,22.6,75.2,5.0
HR,education,university,34.333,48.833,6.0
HU,education,graduate degree,30.667,49.167,6.0
HU,education,high school,20.4,40.4,5.0
HU,education,university,36.333,47.0,3.0
ID,education,graduate degree,24.837,53.633,49.0
ID,education,high school,19.649,58.981,154.0
ID,education,less than high school,16.444,56.111,9.0
