depression,depression_mean,age_mean,% participants
42,0.0,0.38231,0.00424
43,0.00794,0.36111,0.00293
44,0.01587,0.31333,0.00293
45,0.02381,0.38286,0.00456
46,0.03175,0.355,0.00326
47,0.03968,0.3112,0.00815
48,0.04762,0.37786,0.00456
49,0.05556,0.24786,0.00456
50,0.06349,0.27227,0.00717
51,0.07143,0.30032,0.0101
52,0.07937,0.30448,0.00945
53,0.0873,0.34417,0.00782
54,0.09524,0.31318,0.00717
55,0.10317,0.32,0.00978
56,0.11111,0.30273,0.01076
57,0.11905,0.30897,0.01271
58,0.12698,0.29692,0.00847
59,0.13492,0.3625,0.01043
60,0.14286,0.30969,0.01043
61,0.15079,0.298,0.00978
62,0.15873,0.27966,0.00945
63,0.16667,0.27909,0.01076
64,0.1746,0.32281,0.01043
65,0.18254,0.30302,0.01402
66,0.19048,0.2624,0.00815
67,0.19841,0.25452,0.0101
68,0.20635,0.3081,0.00684
69,0.21429,0.32031,0.01043
70,0.22222,0.31069,0.00945
71,0.23016,0.34174,0.0075
72,0.2381,0.30162,0.01206
73,0.24603,0.27121,0.01076
74,0.25397,0.27417,0.00782
75,0.2619,0.25795,0.01271
76,0.26984,0.29361,0.01173
77,0.27778,0.29364,0.01076
78,0.28571,0.25595,0.01206
79,0.29365,0.27667,0.0088
80,0.30159,0.29282,0.01271
81,0.30952,0.30457,0.01499
82,0.31746,0.26405,0.01369
83,0.3254,0.26914,0.01141
84,0.33333,0.27458,0.01565
85,0.34127,0.26167,0.01173
86,0.34921,0.24097,0.0101
87,0.35714,0.28415,0.01336
88,0.36508,0.28455,0.01076
89,0.37302,0.25771,0.01141
90,0.38095,0.25688,0.01043
91,0.38889,0.3103,0.01076
92,0.39683,0.23767,0.00978
93,0.40476,0.26872,0.01271
94,0.4127,0.29432,0.01206
95,0.42063,0.30156,0.01043
96,0.42857,0.23759,0.00945
97,0.43651,0.2825,0.00913
98,0.44444,0.25583,0.01173
99,0.45238,0.28968,0.0101
100,0.46032,0.25949,0.01271
101,0.46825,0.29206,0.01108
102,0.47619,0.25289,0.01239
103,0.48413,0.27536,0.00913
104,0.49206,0.27278,0.01173
105,0.5,0.23639,0.01173
106,0.50794,0.26889,0.0088
107,0.51587,0.254,0.01304
108,0.52381,0.246,0.01141
109,0.53175,0.2471,0.0101
110,0.53968,0.24241,0.00945
111,0.54762,0.22231,0.00847
112,0.55556,0.28333,0.00684
113,0.56349,0.26333,0.01076
114,0.57143,0.23963,0.0088
115,0.57937,0.295,0.00847
116,0.5873,0.25812,0.01043
117,0.59524,0.23414,0.00945
118,0.60317,0.23806,0.0101
119,0.61111,0.27303,0.01076
120,0.61905,0.23552,0.00945
121,0.62698,0.26594,0.01043
122,0.63492,0.244,0.00652
123,0.64286,0.246,0.00815
124,0.65079,0.26256,0.01271
125,0.65873,0.23444,0.0088
126,0.66667,0.25458,0.00782
127,0.6746,0.25231,0.00847
128,0.68254,0.2165,0.00652
129,0.69048,0.25,0.00978
130,0.69841,0.23429,0.00684
131,0.70635,0.2684,0.00815
132,0.71429,0.24357,0.00456
133,0.72222,0.21174,0.0075
134,0.73016,0.23625,0.00782
135,0.7381,0.2576,0.00815
136,0.74603,0.24056,0.00587
137,0.75397,0.24615,0.00424
138,0.7619,0.2395,0.00652
139,0.76984,0.24364,0.00717
140,0.77778,0.28952,0.00684
141,0.78571,0.27,0.00261
142,0.79365,0.28273,0.00359
143,0.80159,0.25929,0.00456
144,0.80952,0.231,0.00326
145,0.81746,0.20583,0.00391
146,0.8254,0.225,0.00456
147,0.83333,0.21333,0.00293
148,0.84127,0.23545,0.00359
149,0.84921,0.22182,0.00359
150,0.85714,0.22583,0.00391
151,0.86508,0.4225,0.0013
152,0.87302,0.195,0.0013
153,0.88095,0.2775,0.0013
154,0.88889,0.22667,0.00098
155,0.89683,0.209,0.00326
156,0.90476,0.25143,0.00228
157,0.9127,0.22556,0.00293
158,0.92063,0.21,0.00163
159,0.92857,0.28286,0.00228
160,0.93651,0.27333,0.00098
161,0.94444,0.1975,0.0013
162,0.95238,0.2525,0.0013
163,0.96032,0.2375,0.0013
164,0.96825,0.21333,0.00098
165,0.97619,0.21667,0.00196
166,0.98413,0.2375,0.0013
167,0.99206,0.22,0.00098
168,1.0,0.24625,0.00261
