testelapse,depression_mean,age_mean,% participants
18,0.0,0.36,0.00033
31,0.49206,0.22,0.00033
57,0.98413,0.17,0.00033
58,0.46825,0.2,0.00033
61,1.0,0.19,0.00033
69,0.90476,0.29,0.00033
72,0.63492,0.285,0.00065
73,0.32804,0.18333,0.00098
74,0.69048,0.32,0.00033
76,1.0,0.23,0.00033
77,0.10317,0.22,0.00033
78,0.42063,0.32,0.00065
79,1.0,0.25,0.00033
80,0.01587,0.58,0.00033
81,0.94841,0.165,0.00065
83,0.15079,0.26,0.00033
84,0.35317,0.2875,0.0013
85,0.45503,0.19333,0.00098
86,0.90476,0.4,0.00033
87,0.18254,0.32,0.00065
88,0.51587,0.205,0.00065
89,0.03968,0.25,0.00033
90,0.03571,0.22,0.00065
91,0.20476,0.282,0.00163
92,0.5496,0.23,0.0013
93,0.02116,0.24667,0.00098
94,0.16667,0.28,0.00033
95,0.56878,0.20333,0.00098
97,0.05556,0.30667,0.00098
98,0.28118,0.31286,0.00228
99,0.26984,0.2925,0.0013
100,0.47619,0.25,0.00163
101,0.1164,0.29,0.00098
102,0.56746,0.2475,0.0013
103,0.4623,0.275,0.0013
104,0.38254,0.34,0.00163
105,0.27778,0.295,0.00065
106,0.16138,0.25333,0.00098
107,0.44949,0.23455,0.00359
108,0.44048,0.2,0.00065
109,0.53439,0.26167,0.00196
110,0.64512,0.28,0.00228
111,0.45873,0.22,0.00326
112,0.18254,0.382,0.00163
113,0.31349,0.26667,0.00391
114,0.31905,0.254,0.00163
115,0.60079,0.274,0.00326
116,0.41975,0.28333,0.00293
117,0.29563,0.2975,0.0013
118,0.4373,0.291,0.00326
119,0.45351,0.27429,0.00228
120,0.4746,0.245,0.00326
121,0.46429,0.268,0.00326
122,0.42222,0.266,0.00326
123,0.5068,0.33786,0.00456
124,0.5348,0.30846,0.00424
125,0.43091,0.25765,0.00554
126,0.49878,0.24308,0.00424
127,0.47222,0.38,0.00196
128,0.46508,0.26533,0.00489
129,0.41865,0.35,0.00391
130,0.47368,0.22632,0.00619
131,0.49524,0.339,0.00326
132,0.44544,0.26875,0.00522
133,0.36706,0.29437,0.00522
134,0.53102,0.25545,0.00359
135,0.4213,0.26333,0.00391
136,0.45503,0.25417,0.00391
137,0.45865,0.26421,0.00619
138,0.38889,0.366,0.00326
139,0.49295,0.33722,0.00587
140,0.45188,0.27,0.00522
141,0.47131,0.27,0.00424
142,0.48264,0.24938,0.00522
143,0.50331,0.24667,0.00391
144,0.32918,0.25333,0.00684
145,0.34807,0.31357,0.00456
146,0.44692,0.325,0.00522
147,0.50794,0.275,0.00456
148,0.32619,0.259,0.00326
149,0.37143,0.28,0.00489
150,0.42196,0.28056,0.00587
151,0.41442,0.29696,0.0075
152,0.38722,0.24842,0.00619
153,0.24603,0.30357,0.00456
154,0.46315,0.26286,0.00456
155,0.32784,0.32,0.00424
156,0.44621,0.27222,0.00587
157,0.36587,0.3275,0.00652
158,0.39242,0.31722,0.00587
159,0.402,0.2987,0.0075
160,0.29025,0.30857,0.00456
161,0.46405,0.22765,0.00554
162,0.48086,0.29941,0.00554
163,0.39735,0.29667,0.00489
164,0.46901,0.24476,0.00684
165,0.42899,0.24,0.00619
166,0.31293,0.27357,0.00456
167,0.4122,0.29313,0.00522
168,0.35786,0.21,0.00359
169,0.4536,0.28769,0.00424
170,0.43001,0.30909,0.00359
171,0.4756,0.27222,0.0088
172,0.41186,0.26105,0.00619
173,0.48294,0.2735,0.00652
174,0.36464,0.29111,0.00587
175,0.47884,0.26833,0.00391
176,0.46878,0.25333,0.00489
177,0.45661,0.29467,0.00489
178,0.50061,0.24615,0.00424
179,0.46618,0.26043,0.0075
180,0.40388,0.37,0.00293
181,0.45196,0.23211,0.00619
182,0.48148,0.304,0.00489
183,0.42247,0.25462,0.00424
184,0.48413,0.24833,0.00782
185,0.32222,0.31933,0.00489
186,0.41837,0.2781,0.00684
187,0.29497,0.3125,0.00391
188,0.294,0.28957,0.0075
189,0.46125,0.27059,0.00554
190,0.44491,0.25647,0.00554
191,0.49081,0.23579,0.00619
192,0.44194,0.27947,0.00619
193,0.38523,0.25231,0.00424
194,0.4915,0.25214,0.00456
195,0.45723,0.24111,0.00587
196,0.40727,0.33526,0.00619
197,0.39755,0.32818,0.00359
198,0.36466,0.27632,0.00619
199,0.32639,0.29167,0.00782
200,0.39153,0.2675,0.00391
201,0.45437,0.26188,0.00522
202,0.40952,0.261,0.00326
203,0.38889,0.24125,0.00522
204,0.50835,0.28158,0.00619
205,0.31825,0.254,0.00326
206,0.38933,0.28944,0.00587
207,0.45723,0.24,0.00587
208,0.40816,0.26214,0.00456
209,0.50305,0.26385,0.00847
210,0.45098,0.23765,0.00554
211,0.31859,0.31071,0.00456
212,0.42369,0.29615,0.00424
213,0.39187,0.30625,0.00522
214,0.46259,0.24786,0.00456
215,0.34821,0.29187,0.00522
216,0.55556,0.26125,0.00522
217,0.38095,0.32438,0.00522
218,0.41847,0.26091,0.00359
219,0.44567,0.26615,0.00424
220,0.39153,0.27444,0.00293
221,0.37654,0.27,0.00293
222,0.39048,0.239,0.00326
223,0.46362,0.28417,0.00391
224,0.38492,0.312,0.00326
