vocab,depression_mean,depression_relative,age_mean,age_relative
0,0.45494864612511665,0.01108213820078227,0.10319042871385842,0.01108213820078227
1,0.46960167714884704,0.01727509778357236,0.1378317876559002,0.01727509778357236
2,0.4107142857142857,0.01694915254237288,0.11571056062581488,0.01694915254237288
3,0.4398496240601505,0.018578878748370272,0.11804936068986026,0.018578878748370272
4,0.507730364873222,0.025097783572359842,0.11446180937706361,0.025097783572359842
5,0.48220486111111105,0.041720990873533245,0.11904131355932193,0.041720990873533245
6,0.4748279855575996,0.07594524119947849,0.1285371353749908,0.07594524119947849
7,0.4217913832199543,0.11408083441981746,0.13772397094430996,0.11408083441981746
8,0.45399826597305604,0.15514993481095177,0.14930209371884348,0.15514993481095177
9,0.4176904911368189,0.17307692307692307,0.17916307574451779,0.17307692307692307
10,0.401009497243807,0.1558018252933507,0.2211545280476562,0.1558018252933507
11,0.37578120679165955,0.09354628422425032,0.2754384928837182,0.09354628422425032
12,0.35573476702508977,0.060625814863103,0.337798432659012,0.060625814863103
13,0.349143361048123,0.04106910039113429,0.39131019639494224,0.04106910039113429
